Index,Name,Abstract Title,Author List,Abstract Keywords
1,Aditi Srinivasan,Identification of DNA sequence motifs enriched in regulatory regions of genes escaping X-chromosome inactivation,"Srinivasan, A","X-Chromosome, Sequential Analysis, Computational Biology, Machine Learning"
2,Alireza Omidi,Inference-time enhanced sampling of diffusion models with Metadynamics,"Omidi, A; Syed, S; Gsponer, J","diffusion models, Metadynamics, enhanced sampling"
3,Alma Garcia Roche,Mapping metabolic networks in a full-scale anaerobic digester using stable isotope probing metagenomics,"Garcia Roche, AR; Waring, K; Madill, M; Friedline, SE; Ziels, RM","microbial ecology, anaerobic digestion, metagenomics, viromics, stable isotope probing"
4,Amanda Kurowski,Socioeconomic Determinants and Biological Aging: Exploring the Potential Mediating Role of Environmental Exposures in the Canadian Longitudinal Study on Aging,"Kurowski, A; Engelbrecht, HR; Kobor, MS; Stringhini, S","Socioeconomic conditions, environmental conditions, DNA methylation, epigenetic aging, mediation analysis"
5,Andras Szeitz,A matrix-centered view of mass spectrometry platform innovation for volatilome research,"Szeitz, A; Sutton, AG; Hallam, SJ","VOC, SIFT-MS, PTR-MS, Orbitrap-MS, GCxGC-TOF-MS"
6,Andrew Chen,Defining the landscape of potential AID binding sites after knockdown of KMT2D or ARID1A in Mino cells,"Chen, AY; Uday, P; Hilton, L; Weng, A","Lymphoma, chromatin accessibility, AID targeting, breakpoints"
7,Anika Nag,Benchmarking host DNA depletion and whole-genome amplification strategies for profiling ultra-low biomass microbiomes inhabiting the human respiratory tract,Nag A.; Chen S.Q.; McLaughlin R.J.; Noonan A.J.C.; Capron R.; Bartolomeu C.; Borden S.A.; Myers R.; Lam S.; Hallam S.J,"Lung Cancer, Microbiome, Metagenomics, WGS, Amplicon Sequencing, Microbial Biomarkers"
8,Anne-Sophie Fratzscher,The Neighbourhood Matters: Spatial Single-Cell Profiling of Follicular Lymphoma,"Fratzscher, AS; Lee, E; Wu, S; Scott, DW; Steidl, C; Roth, A","cancer, follicular lymphoma, single cell spatial transcriptomics, tumour microenvironment"
9,Asli Munzur,Clonal hematopoiesis after 177Lu-PSMA-617 radioligand therapy in prostate cancer,"Munzur, AD; Herberts, C; Kwan, EM; Emmett, L; Sandhu, S; Buteau, JP; Iravani, A; Joshua, AM; Francis, RJ; Lee, ST; Scott, AM; Martin, AJ; Stockler, MR; Zhang, AY; Williams, SG; Bernales, CQ; Donnellan, G; Koudjanian, M; Parekh, K; Bacon, JVW; Karsan, A; Azad, AA; Davis, ID; Hofman, MS; Wyatt, AW","prostate cancer, clonal hematopoiesis, clinical trial, translational research, genomics"
10,Axel Hauduc,Cell-type specific genetic-to-epigenetic relationships in the human breast,"Hauduc, A; Steif, J; Bilenky, M; Moksa, M; Cao, Q; Eaves, C; Hirst, M",Genetics epigenetic breast variation QTL
11,Behnam Maneshgar,GeneExpert: A Foundation Model for Gene Expression Understanding,"Maneshgar, B; Zhang, T; Farahani, H; Bashashati, A","AI, Foundation Model, Gene Expression"
12,Bessie Wang,Elevated endogenous retroviral expression in severe COVID-19 patients correlates with innate immune activation markers,"Wang, B; Deckers, T; Liu, E; Tokuyama, M","Endogenous Retrovirus, COVID-19, RNAseq, scRNAseq"
13,Caralyn Reisle,Evaluating AI for Summarizing Variant Interpretation in Precision Oncology: A Benchmark Dataset of Comprehensive Case Reports,"Reisle, Caralyn; McConechy, Melissa; Csizmok, Veronika; Wee, Kathleen; Taylor, Greg; Dupuis, John; Grisdale, Cameron J.; Xu, Morgana; Hanos, Melika; Shen, Yaoqing; Chiu, Readman; Tran, Linh; Laskin, Janessa; Marra, Marco A.; Jones, Steven J.M.","AI, NLP, Cancer, Precision Medicine"
14,Cedar Zhang,Decoding Nosema ceranae and Black Queen Cell Virus (BQCV) Co-Infection in Honeybees through Spatial Multi-Omics,"Zhang, Y; Alcazar, A; Rogalski, J; Foster, L","Honeybee, Nosema, Black Queen Cell Virus, Spatial multi-omics, Gut–brain axis"
15,Chen Xi Yang,Spatial Transcriptomics Reveals Airway Remodeling and Molecular Targets Across COPD Severity,"Yang, C; Rojas-Quintero, J; Gerayeli, FV; Polverino, F; Ng, RT; Malo, J; Sin, DD","Chronic obstructive pulmonary disease, small airway, spatial transcriptomics"
16,Cindy Zhang,Evaluating Clinical Diagnostic Reasoning Under Real-World Uncertainty,"Cindy Xiao Yu Zhang, Wyeth W. Wasserman, Jian Zhu","Clinical decision support, Diagnostic reasoning, Clinical plausibility"
17,Elahe Ranjbari,Domain-Invariant Feature Learning for Generalizable Gene Expression Prediction from Histology Images,"Ranjbari, E","AI, Domain Generalization, Gene Expression Prediction, Spatial Transcriptomics"
18,Emilia Hurtado,MiClone: A Probabilistic Method for Inferring Cell Phylogenies from Mitochondrial Variants,"Hurtado, E; Roth, A","Phylogenetics, Cancer, Mitochondria"
19,Emily Zhang,Peptide Clinical Trial Annotation and Outcome Prediction,"Zhang, E; Birul, U; Birol, I","Machine Learning, AI, LLMs, Clinical Trials, Peptide Therapeutics"
20,Erica Zeng,Advancing Precision Psychiatry in Schizophrenia through the Identification of Individualized Brain Network Dysfunctions,"Zeng, E; Eickhoff, S; Shahki, J; Woodward, T","Schizophrenia, Functional Magnetic Resonance Imaging, Task-based Brain Networks, Constrained Principal Component Analysis for fMRI; Biomarkers"
21,Eully Ao,Exploring the Impact of H2A.Z Depletion on Nascent Transcription Regulation,"Ao, E; Brewis, HT; Kobor, MS","yeast, H2A.Z, nascent transcription, depletion system"
22,Farbod Moghaddam,Integrated multi-omics approach for the characterization of no specific molecular profile in endometrial carcinoma,"Moghaddam, F; Cochrane, D; McAlpine, J; Hoang, L; Roth, A; Talhouk, A","Endometrial Carcinoma, Multi-omics Integration, Molecular Subtyping, Similarity Network Fusion, Machine Learning"
23,Gage Fairlie,Investigating the Genomic Contributions to Familial Intracranial Aneurysms in a First Nation from Northern British Columbia,"Fairlie, GMJ; Anderson, S; Lehman, A; Arbour, L","Medical Genetics, Linkage Analysis, Intracranial Aneurysms, WGS, SNP Array"
24,Harry Cheng,An embryonic stem cell simulator that incorporates biological time,"Cheng, HCM; Abou Chakra, M; Bader, G; Shakiba, N","Cell cycle, simulator, ESC"
25,Herbert Yao,Human gene regulatory network inference through a custom Peter-Clark algorithm,"Yao, Herbert; Zhang, Jian; Kiyota, Brett; Yachie, Nozomu","systems biology, causal discovery, high performance computing, gene regulatory network"
26,Hoda Taeb,A biophysically inspired model of transcriptional regulation in hormone signalling,"Taeb, H; Safaeesirat, A; Tekoglu, TE; Lack, N; Emberly, E","modeling, transcriptional regulation, cancer, enhancer activity"
27,Ivana Sanchez Olivares,A Reproducible Framework to Benchmark Single‑Cell Bisulfite Sequencing with Haplotype‑Resolved Simulations,"Sanchez Olivares, I; Birol, I","Single-cell methylation profiles, haplotype-resolved reads simulation, reproducible benchmarking framework"
28,Jackson Moore,Chemogenomic profiling of diverse Saccharomyces cerevisiae strains using BarMix: a novel CRISPR-Cas9 marker-less barcoded library,"Moore, J; Barazandeh, M; Nislow, C; Measday, V","Saccharomyces cerevisiae, yeast, natural variation, genetic barcoding, chemogenomics"
29,Jeffrey Tang,Characterization of a GzmB-Driven Fibrotic Signature in Primary Human Dermal Fibroblasts via Consensus Differential Expression and Drug Repurposing Analysis,Jeffrey S. Tang; Alexandre Aubert; Anna Prudova; Karen Jung; Amrit Singh*; David J. Granville*,"transcriptomics, serine protease, perturbation"
30,JJ Hum,Scaling up massive parallel reporter assays with bulk quantitative density-based cell sorting,"Hum, JJ; de Boer, CG","genomics, synthetic biology, cell sorting"
31,Johnathan Wong,MSClust: de novo single-cell bi-sulfite clustering,"Wong, J; Coombe, L; Warren, RL; Birol I","Methylation, single-cell, bisfulite, de novo, clustering"
32,Juan Camilo Burckhardt Acevedo,Expanding the bacteroides synthetic biology toolkit to develop an in vivo intestinal malabsorption biosensor.,"Burckhardt, Juan C; McCallum, Giselle; He, Jerry; Hong, Alice; Tropini, Carolina","Bacterial Biosensors, Synthetic Biology, Transcriptional Circuits, Microbiome Research"
33,Julia Anstett,A gene centric analysis of denitrification in the oxygen limited Northeastern Subarctic Pacific,"Anstett, J; Mclaughlin, R; Morgan-Lang, C; Plominsky, AM; Kiesser, A; Chang, T; Pachiadaki, MG; Gavelis, GS; Macartney, K; La Clair, JJ; Weinheimer, A; Brown, JM; Burkart, MD; Ulloa, O; Baltar, F; Juergens, K; Nunoura, T; Sintes, E; Herndl, G; Stepanauskas, R; and Hallam, SJ","Oxygen Minimum Zones, Metagenomics, Single-Cell Genomics, Gene-centric Phylogenetics"
34,Julia Desbiens,Expanding Strategies for Bacterial Nanocellulose Production from Organic Wastes,"Desbiens, JC; Lewicki, E; Joshi, J.","non-human, synthetic biology, biomaterials, sustainability"
35,Julia Price,Improving Monitoring of Environmental Effects of Fish Net Pens by Meiofauna Metabarcoding,"Price, J; Hauser, L; Nel, R; Dias, J; Dickey, J; Schmidt, D","non-human, conservation, metabarcoding"
36,Juliana Sobral de Barros,Exploring therapeutic opportunities in p53abn Endometrial Carcinomas,"Sobral de Barros, J; Cochrane, D; Jamieson, A; Senz, J; McAlpine, JN; Huntsman, DG","endometrial cancer, p53 abnormal, Cyclin E1, targeted therapy"
37,Kalen Dofher,High-Throughput Characterization of the Filamentous Cyanobacterium  Sodalinema yuhuli AB48[,"Dofher, K; Sukkasam, N; Liu, T; Hallam, SJ","Cyanobacteria, Bioproducts, Wastewater, High-Throughput, Characterization"
38,Katherine Rich,Mast cells as biomarkers for capecitabine benefit in triple negative breast cancer,"Rich, K; Shenasa, E; Gao, D; Bashashati, A; Nielsen, T","breast cancer, AI, biomarkers"
39,Kaytlyn Tasalloti,Investigating the Complexity of Genomic Epidemiology and Evolution of Tenacibaculum spp. in Wild and Aquaculture Salmon Populations in British Columbia,"Tasalloti K, Deeg C, Mordecai G, Joy J","infectious disease, fisheries, conservation, genomics"
40,Keiran Maskell,Evaluating the evolutionary and developmental impact of mobile genetic elements in vertebrates,"Keiran Maskell, Nanami Masuyama, and Nozomu Yachie","mobile genome, transposable elements, vertebrate biology, evolutionary developmental biology"
41,Kenyon Alexander,Hydrogel bead display for large sequence-t0-function datasets in protein engineering,"Alexander, K; Mateyko, N; deBoer, C","ML, protein engineering, microfluidics, emulsion PCR, cell-free protein expression"
42,Kevin Zhang,Statistical variations on metabolomics data quality,"Yikang, Z; Brian, L; Sangpei J; Tao H","Statistics, Metabolomics, data quality"
43,Kevin Zhang,Multi-Modal Meta-Analysis of Functional Genomics Data to Identify Regulatory Relationships in the Brain,"Zhang, K; Pavlidis, P","meta-analysis, regulation, brain"
