Index,Name,Abstract Title,Author List,Abstract Keywords,Location,Stream
2,Giuli Sucar,"Phylogenetic clustering analysis shows diverse transmission contexts for transgender people living with HIV in British Columbia, Canada","Sucar, G; Joy, J; Montaner, J; Toy, J; Sereda, P; Brumme, C","HIV, Phylogenetics, Transgender",3:30-4:30 PM @ LSC1,Human Genomics & Disease
6,Laura Simonson,Influence of Genetic Variants on Response to Morphine Alternatives in Pediatric Patients: A Systematic Review,"Simonson, LP; Mufti, K; Scott, EN; Loucks, CM","pharmacogenomics, pain management, pediatrics, opioids",3:30-4:30 PM @ LSC1,Human Genomics & Disease
7,Hasti Jalali,REAL-TIME PROSTATE CANCER GLAND GLEASON PATTERN SCORING USING AI-ASSISTED RAMAN MICROSCOPY,"Jalali, H; Sheng, M; Lough, L; Namekawa, T; Belanger, E; Mannas, M; Hach, F","Prostate Cancer, AI, Gleason Pattern Scoring",3:30-4:30 PM @ LSC1,Human Genomics & Disease
9,Willie Wu,Quantitative Tissue Topology as a Biomarker of Prostate Cancer Aggressiveness,"Wu, W; Inaba, F; Chen, Z; Carraro, A; MacAulay, C; Pukl, M; Keyes, M; Guillaud, M","Graph-based modeling, Prostate cancer, Tissue architecture",3:30-4:30 PM @ LSC1,Human Genomics & Disease
10,Josh Dyce,Structural and Inflammatory Changes Following ETI Therapy in Cystic Fibrosis,"Dyce, J; Jang, J; Quon, B","Cystic Fibrosis, Inflammatory Endotypes, Computed Tomography, Feature Extraction",3:30-4:30 PM @ LSC1,Human Genomics & Disease
11,Andrew Murtha,Enzymatic fragmentation and individualized control pools improve quality of FFPE tumour sequencing,"Murtha, AJ; Bacon, JVW; Azzam, K; Ng, S; Koudjanian, M; Donnellan, G; Bernales, CQ; Fung, E; Wang, G; Annala, M; Wyatt, AW","prostate cancer, FFPE, tumour sequencing, optimization",3:30-4:30 PM @ LSC1,Human Genomics & Disease
14,Hoda Taeb,A biophysically inspired model of transcriptional regulation in hormone signalling,"Taeb, H; Safaeesirat, A; Tekoglu, TE; Lack, N; Emberly, E","modeling, transcriptional regulation, cancer, enhancer activity",3:30-4:30 PM @ LSC1,Human Genomics & Disease
1,Imogen Porter,Bowel preparation promotes pathogen colonisation and exacerbates inflammation in humanised IBD models,"Porter, I*; Clayton, C*; Deng, B; Ng, K; Pannu, S; Tropini, C","microbiota, IBD, bowel preparation",3:30-4:30 PM @ LSC2,"Computational, ML & Microbiome"
3,Hans Ghezzi,Characterizing species-specific ecological dynamics and genomic adaptations to osmotic perturbations in the gut,"Ghezzi, H; Wolff, R; Jain, A; Ng, KM; Burckhardt, J; Garud, N; Tropini, C","Microbiome, Perturbations, Adaptation, Growth rate, Mortality",3:30-4:30 PM @ LSC2,"Computational, ML & Microbiome"
4,Mayur Mallya,AI-Driven Biomarker Identification for Bevacizumab Treatment in High-Grade Serous Ovarian Cancer using Whole Slide Images,"Mallya, M; Grube, M; Farahani, H; Anglesio, M; Kommoss, S; Bashashati, A","AI, ovarian cancer, treatment guidance",3:30-4:30 PM @ LSC2,"Computational, ML & Microbiome"
5,Emily Zhang,Peptide Clinical Trial Annotation and Outcome Prediction,"Zhang, E; Birol, L; Yanai, A; Salehi, A; Ucar, B; Demirsoy, E; Caglayan, I; Alev, M; Deniz, M; Birol, I","Machine Learning, AI, LLMs, Clinical Trials, Peptide Therapeutics",3:30-4:30 PM @ LSC2,"Computational, ML & Microbiome"
8,Dollina Dodani,A transformer-based foundational model for the vaginal microbiome,"Dodani, D; Blanco, N; Aboofazeli M; Pradhan T; Talhouk, A","Vaginal microbiome, Foundational models, Self-supervised learning, Transformers",3:30-4:30 PM @ LSC2,"Computational, ML & Microbiome"
12,Parham Kazemi,Enhancing Nanopore Assembly Quality at the Basecalling and Polishing Stages,"Kazemi, P; Birol, I","nanopore sequencing, genome assembly, basecalling",3:30-4:30 PM @ LSC2,"Computational, ML & Microbiome"
13,Raam Sivakumar,Multimodal Prediction of Clinical Outcomes in Patients with Hypertrophic Cardiomyopathy,"Sivakumar, R; Laksman, Z; Singh, Amrit","Deep Learning, Machine Learning, Medical Imaging",3:30-4:30 PM @ LSC2,"Computational, ML & Microbiome"
